HUD AMP #,TDS #,CONSOLIDATED TDS #,DEVELOPMENT EDP #,OPERATING EDP #,HUD #,DEVELOPMENT NAME,METHOD,TYPE,PROGRAM,# OF SECTION 8 TRANSITION UNITS,# OF CURRENT UNITS,TOTAL NUMBER OF UNITS,NUMBER OF RENTAL ROOMS,AVG. NO. R/R PER UNIT,POPULATION - SECTION 8 TRANSITION,POPULATION - PUBLIC HOUSING,TOTAL POPULATION,# OF RESIDENTIAL BUILDINGS,# OF NON-RESIDENTIAL BUILDINGS,# OF STAIRHALLS,# OF STORIES,TOTAL AREA - SQ. FT.,ACRES,NET DEV. AREA - SQ. FT.,(EXCLUDING PARK) ACRES,BLDG. COVERAGE - SQ. FT.,CUBAGE - CU. FT.,BLDG/LAND COVERAGE - %,DENSITY (POPULATION/ACRE),DEVELOPMENT COST,COST PER RENTAL ROOM (AS BUILT),AVG. MONTHLY GROSS RENT,LOCATION,BOROUGH,COMMUNITY DISTRICT,US CONGRESSIONAL DISTRICT,NEW YORK STATE SENATE DISTRICT,NEW YORK STATE ASSEMBLY DISTRICT,NEW YORK CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,# OF FAMILIES ON FIXED INCOME,% OF FAMILIES ON FIXED INCOME,YEAR
NY005011450,145,145,249,249,NY005050,MITCHEL,CONVENTIONAL,NEW CONST,FEDERAL,,"1,732","1,732","7,554.0",4.36,,"4,124","4,124",10,1,12,17-19-20,"699,494",16.06,"653,938",15.01,"97,114","14,044,919",13.88%,257,"$33,012,851","$4,350",$472,LINCOLN AVE E 138TH ST WILLIS AVE E 135TH ST,BRONX,1,15,29,84,08,2/28/1966,,PARTIALLY,,,,,2017
NY005000880,088,088,234,234,NY005036,MONROE,CONVENTIONAL,NEW CONST,FEDERAL,,"1,101","1,102","5,302.5",4.82,,"2,708","2,708",12,1,20,8-14-15,"805,341",18.49,"805,341",18.49,"118,402","10,177,348",14.70%,146,"$16,449,659","$3,100",$483,SOUNDVIEW AVE STORY AVE TAYLOR AVE LAFAYETTE AVE,BRONX,9,15,32,85,18,9/30/1961,,,,,,,2017
NY005010930,129,093,251,251,NY005080,MOORE,CONVENTIONAL,NEW CONST,FEDERAL,,463,463,"2,165.5",4.68,,"1,146","1,146",2,0,4,20,"117,000",2.69,"117,000",2.69,"21,826","4,029,275",18.65%,426,"$7,256,661","$3,350",$490,E 147TH ST E 149TH ST JACKSON AVE TRINITY AVE,BRONX,1,15,29,84,08,3/31/1964,,,,,,,2017
NY005011020,102,102,239,239,NY005037,MORRIS I,CONVENTIONAL,NEW CONST,FEDERAL,,"1,083","1,085","5,237.5",4.84,,"2,942","2,942",10,0,10,16-20,"416,831",9.57,"416,831",9.57,"66,594","9,980,542",15.98%,307,"$20,735,295","$4,008",$491,PARK AVE,BRONX,3,15,33,79,16,8/31/1965,,,,,,,2017
NY005011020,502,102,280,239,NY005079,MORRIS II,CONVENTIONAL,NEW CONST,FEDERAL,,802,802,"3,765.0",4.69,,"2,053","2,053",7,0,7,16-20,"358,843",8.24,"313,704",7.20,"51,875","7,162,265",14.46%,249,"$15,391,181","$4,008",$500,PARK AVE,BRONX,3,15,33,79,16,8/31/1965,,,,,,,2017
NY005011410,130,141,250,231,NY005048,MORRISANIA,CONVENTIONAL,NEW CONST,FEDERAL,,206,206,962.0,4.67,,526,526,2,0,2,16,"60,890",1.40,"60,890",1.40,"13,024","1,769,693",21.39%,376,"$3,742,711","$3,891",$406,E 169TH ST,BRONX,3,15,32,79,16,5/31/1963,,,,,,,2017
NY005012670,267,267,385,385,NY005190,MORRISANIA AIR RIGHTS,TURNKEY,NEW CONST,FEDERAL,,843,843,"3,795.5",4.50,,"1,779","1,779",3,0,5,19-23-29,"274,300",6.30,"274,300",6.30,"64,435","11,316,800",23.49%,282,"$40,272,504","$10,584",$491,PARK AVE,BRONX,"3, 4",15,32,79,"16, 17",2/29/1980,,PARTIALLY,,,,,2017
NY005001210,121,121,244,244,NY005044,MOTT HAVEN,CONVENTIONAL,NEW CONST,FEDERAL,,992,993,"4,634.0",4.67,,"2,594","2,594",8,1,9,20-22,"417,367",9.58,"386,817",8.88,"78,477","9,236,613",18.80%,271,"$20,670,000","$4,456",$507,E 140TH ST,BRONX,1,15,29,84,08,3/31/1965,,,,,,,2017
NY005021330,133,133,447,447,NY005381,MURPHY,CONVENTIONAL,NEW CONST,MIXED FINANCE/LLC2,107,281,281,"1,294.5",4.61,266,436,702,2,0,2,20,"114,593",2.63,"114,593",2.63,"20,188","2,548,312",17.62%,267,"$5,539,000","$4,277",$461,CROTONA AVE,BRONX,6,15,33,79,15,3/31/1964,,,,,,,2017
NY005010470,047,047,580,580,NY005267B,PARKSIDE,CONVENTIONAL,NEW CONST,FEDERAL,,879,879,"3,712.5",4.22,,"1,750","1,750",14,0,20,6-7-14-15,"485,455",11.14,"453,178",10.40,"96,415","7,454,500",19.86%,157,"$9,676,316","$2,606",$497,ADEE AVE,BRONX,11,14,36,80,15,6/12/1951,1980/07/01-ATP 5,,,,,,2017
NY005000240,024,024,522,522,NY005216A,PATTERSON,CONVENTIONAL,NEW CONST,FEDERAL,,"1,789","1,791","8,508.5",4.76,,"4,283","4,283",15,0,25,6-13,"748,573",17.18,"702,358",16.12,"167,841","14,503,544",22.42%,249,"$20,731,000","$2,433",$485,MORRIS AVE,BRONX,1,15,29,84,08,12/31/1950,1978/02/01-ATP 2,,,,,,2017
NY005010390,039,039,586,586,NY005271A,PELHAM PARKWAY,CONVENTIONAL,NEW CONST,FEDERAL,,"1,265","1,266","5,446.5",4.31,,"2,526","2,526",23,0,38,6,"1,034,160",23.74,"967,252",22.21,"184,875","10,665,277",17.88%,106,"$15,295,753","$2,806",$540,PELHAM PKWY,BRONX,11,14,34,80,13,6/30/1950,1980/10/01-ATP 7,,,,,,2017
NY005010630,245,063,364,218,NY005179,RANDALL AVENUE-BALCOM AVENUE,TURNKEY,NEW CONST (ELD),FEDERAL,,251,252,823.5,3.28,,275,275,3,0,3,6,"230,000",5.28,"230,000",5.28,"48,175","1,582,410",20.95%,52,"$9,186,414","$10,757",$350,RANDALL AVE,BRONX,10,14,34,82,13,10/31/1978,,EXCLUSIVELY,,,,,2017
NY005012800,280,280,506,506,NY005205,SACK WERN,CONVENTIONAL,REHAB,,,411,413,"1,890.5",4.60,,876,876,7,1,8,6,"226,969",5.21,"226,969",5.21,"63,056","3,782,352",27.78%,168,"$8,699,894","$4,528",$520,BEACH AVE,BRONX,9,15,34,85,18,5/31/1977,,,,,,,2017
NY005020930,093,093,673,673,NY005384,SAINT MARY’S PARK,CONVENTIONAL,NEW CONST,,208,"1,005","1,007","4,523.5",4.50,565,"1,770","2,335",6,0,6,21,"588,851",13.52,"545,801",12.53,"57,006","8,922,933",9.68%,173,"$16,351,823","$3,607",$493,CAULDWELL AVE,BRONX,1,15,"29, 32","79, 84",17,4/30/1959,,,,,,,2017
NY005010450,045,045,368,368,NY005183B,SEDGWICK,CONVENTIONAL,NEW CONST,,,783,786,"3,316.5",4.24,,"1,498","1,498",7,0,7,14-15,"319,008",7.32,"319,008",7.32,"59,598","6,642,484",18.68%,205,"$8,397,841","$2,529",$463,UNDERCLIFF AVE,BRONX,5,13,29,77,16,3/23/1951,1972/06/29-FED TRAN,,,,,,2017
NY005010670,067,067,222,222,NY005022,SOTOMAYOR HOUSES,CONVENTIONAL,NEW CONST,,,"1,497","1,497","6,971.5",4.66,,"3,375","3,375",28,3,31,7,"1,340,519",30.77,"1,340,519",30.77,"190,435","12,238,008",14.21%,110,"$17,963,549","$2,564",$514,WATSON AVE,BRONX,9,15,32,85,18,1/31/1955,,,,,,,2017
NY005000710,071,071,537,537,NY005220H,SOUNDVIEW,CONVENTIONAL,NEW CONST,,,"1,258","1,259","5,863.0",4.66,,"2,936","2,936",13,2,28,7,"1,076,761",24.72,"1,076,761",24.72,"164,048","10,481,330",14.32%,119,"$13,445,000","$2,308",$479,ROSEDALE AVE,BRONX,9,15,32,85,18,12/31/1954,1978/07/01-ATP 3,,,,,,2017
NY005013420,305,342,550,753,NY005224,SOUTH BRONX AREA (SITE 402),TURNKEY,NEW CONST,FEDERAL,,112,114,592.0,5.29,,406,406,4,0,19,3,"149,500",3.43,"149,500",3.43,"41,764","1,301,202",27.94%,118,"$8,902,455","$14,764",$631,E 158TH ST E 161ST ST CAULDWELL AVE EAGLE AVE,BRONX,1,15,32,79,17,2/28/1988,,,YES,,,,2017
NY005013420,353,342,770,753,NY005280,STEBBINS AVENUE-HEWITT PLACE,TURNKEY,NEW CONST,FEDERAL,,119,120,535.5,4.50,,273,273,2,0,14,3,"123,156",2.83,"123,156",2.83,"42,267","1,098,942",34.32%,96,"$8,851,338","$16,391",$573,HEWITT PL WESTCHESTER AVE REV JAMES A POLITE AVE DAWSON ST,BRONX,2,15,32,85,17,4/30/1987,,,YES,,,,2017
NY005013080,223,308,344,344,NY005163,TELLER AVENUE-EAST 166TH STREET,TURNKEY,NEW CONST,FEDERAL,,90,90,352.0,3.91,,178,178,1,0,1,6,"27,481",0.63,"27,481",0.63,"12,354","816,812",44.95%,283,"$2,296,895","$6,363",$398,TELLER AVE E 167TH ST CLAY AVE E 166TH ST,BRONX,4,15,32,77,16,9/30/1971,,,,,,,2017
NY005010630,063,063,218,218,NY005015,THROGGS NECK,CONVENTIONAL,NEW CONST,FEDERAL,,"1,182","1,185","5,423.0",4.59,,"2,675","2,675",29,2,66,3-7,"1,430,081",32.83,"1,430,081",32.83,"228,989","11,440,850",16.01%,81,"$15,541,569","$2,859",$535,RANDALL AVE CALHOUN AVE SAMPSON AVE BALCOM AVE,BRONX,10,14,34,82,13,11/30/1953,,,,,,,2017
NY005010630,193,063,303,218,NY005098,THROGGS NECK ADDITION,CONVENTIONAL,NEW CONST,FEDERAL,,286,287,"1,327.0",4.64,,702,702,4,0,4,8-11,"384,899",8.84,"384,899",8.84,"39,315","2,755,918",10.21%,79,"$7,405,898","$5,523",$516,DEWEY AVE BALCOLM AVE RANDALL AVE THROGGS NECK HOUSES,BRONX,10,14,34,82,13,9/30/1971,,,,,,,2017
NY005012270,287,227,577,577,NY005227,TWIN PARKS EAST (SITE 9),CONVENTIONAL,NEW CONST (ELD),FEDERAL,,219,219,689.5,3.15,,235,235,1,0,1,14,"71,490",1.64,"71,490",1.64,"11,388","1,505,284",15.93%,143,"$11,406,932","$16,520",$311,CLINTON AVE,BRONX,6,15,33,79,15,11/30/1981,,EXCLUSIVELY,YES,,,,2017
NY005012270,227,227,363,363,NY005178,TWIN PARKS WEST (SITES 1 & 2),CONVENTIONAL,NEW CONST,FEDERAL,,311,312,"1,504.5",4.84,,899,899,1,0,7,16,"189,384",4.35,"189,384",4.35,"33,186","3,411,979",17.52%,207,"$14,286,716","$9,424",$551,WEBSTER AVE,BRONX,5,15,33,86,15,9/30/1974,,,,,,,2017
NY005013420,342,342,753,753,NY005214,UNION AVENUE-EAST 163RD STREET,TURNKEY,NEW CONST (ELD),FEDERAL,,199,200,696.5,3.50,,222,222,1,0,1,9,"115,299",2.65,"115,299",2.65,"18,632","1,502,857",16.16%,84,"$12,675,000","$18,107",$308,E 165TH ST,BRONX,3,15,32,79,17,3/31/1985,,EXCLUSIVELY,YES,,,,2017
NY005013420,356,342,768,753,NY005291,UNION AVENUE-EAST 166TH STREET,TURNKEY,NEW CONST,FEDERAL,,120,120,539.0,4.49,,279,279,6,0,20,3,"98,707",2.27,"98,707",2.27,"38,943","1,022,257",39.45%,123,"$9,239,549","$17,142",$534,E 166TH ST,BRONX,3,15,32,79,17,4/30/1988,,,YES,,,,2017
NY005013410,341,341,762,762,NY005283,UNIVERSITY AVENUE REHAB,TURNKEY,REHAB,FEDERAL,,230,230,"1,034.0",4.50,,526,526,4,0,5,6,"77,898",1.79,"77,898",1.79,"43,696","2,798,894",56.09%,294,"$15,900,000","$15,377",$445,W BURNSIDE AVE,BRONX,5,15,29,86,14,1/31/1985,,,YES,YES,,,2017
NY005011410,141,141,231,231,NY005028,WEBSTER,CONVENTIONAL,NEW CONST,FEDERAL,,606,606,"2,831.0",4.67,,"1,585","1,585",5,1,6,21,"197,199",4.53,"197,199",4.53,"31,247","5,322,369",15.85%,350,"$12,227,114","$4,319",$483,E 169TH ST,BRONX,3,15,32,79,16,9/30/1965,,,,,,,2017
NY005015300,360,530,780,780,NY005286,WEST FARMS ROAD REHAB,TURNKEY,REHAB,FEDERAL,,208,208,883.0,4.25,,458,458,4,0,7,6,"51,965",1.19,"51,965",1.19,"34,935","2,104,200",67.23%,385,"$14,480,678","$16,399",$533,FREEMAN ST,BRONX,"2, 3",15,32,85,17,8/31/1986,,,YES,YES,,,2017
NY005015310,526,530,481,482,NY005318,WEST FARMS SQUARE CONVENTIONAL,CONVENTIONAL,REHAB,FEDERAL,,20,20,85.0,4.25,,51,51,1,0,1,5,"5,000",0.11,"5,000",0.11,"3,363","202,892",67.26%,464,"$1,558,811","$18,339",$550,E 167TH ST,BRONX,3,15,32,85,17,6/30/1993,,,YES,YES,,,2017
NY005010450,246,045,365,368,NY005180,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,TURNKEY,NEW CONST (ELD),FEDERAL,,148,148,485.0,3.28,,159,159,1,0,1,12,"36,563",0.84,"36,563",0.84,"9,609","982,251",26.28%,189,"$4,380,000","$8,734",$266,W TREMONT AVE,BRONX,5,15,29,77,14,7/31/1973,,EXCLUSIVELY,,,,,2017
NY005011670,242,167,361,283,NY005174,104-14 TAPSCOTT STREET,TURNKEY,NEW CONST,FEDERAL,,30,30,131.0,4.37,,67,67,1,0,1,4,"10,000",0.23,"10,000",0.23,"6,983","351,238",69.83%,291,"$839,110","$6,505",$445,TAPSCOTT ST UNION ST SUTTER AVE BLAKE AVE,BROOKLYN,16,9,20,55,41,10/31/1972,,,,,,,2017
NY005010730,156,073,267,267,NY005068,303 VERNON AVENUE,CONVENTIONAL,NEW CONST,FEDERAL,,234,234,"1,101.0",4.71,,541,541,1,0,1,24,"110,000",2.53,"110,000",2.53,"11,311","2,207,369",10.28%,214,"$4,703,702","$4,272",$545,VERNON AVE MARCUS GARVEY BLVD MYRTLE AVE,BROOKLYN,3,8,18,54,36,5/31/1967,,,,,,,2017
NY005011630,196,163,307,272,NY005103,572 WARREN STREET,TURNKEY,NEW CONST,FEDERAL,,200,200,815.0,4.08,,382,382,1,1,2,6,"81,700",1.88,"81,700",1.88,"28,530","1,726,301",34.92%,203,"$5,984,598","$7,116",$509,WARREN ST BALTIC ST THIRD AVE FOURTH AVE,BROOKLYN,6,7,25,52,33,8/31/1972,,,,,,,2017
NY005010310,031,031,524,524,NY005216C,ALBANY,CONVENTIONAL,NEW CONST,FEDERAL,,823,829,"3,779.5",4.59,,"1,926","1,926",6,0,6,14,"388,389",8.92,"388,389",8.92,"58,455","7,082,630",15.05%,216,"$8,951,000","$2,356",$496,ALBANY AVE SAINT MARKS AVE TROY AVE PARK PL,BROOKLYN,8,9,25,56,36,10/2/1950,1978/02/01-ATP 2,,,,,,2017
NY005010310,085,031,524,524,NY005216C,ALBANY II,CONVENTIONAL,NEW CONST,FEDERAL,,400,400,"1,848.0",4.62,,"1,015","1,015",3,0,3,13-14,"214,594",4.93,"214,594",4.93,"26,053","3,249,689",12.14%,206,"$4,666,000","$2,540",$491,BERGEN ST TROY AVE ALBANY HOUSES ALBANY AVE,BROOKLYN,8,9,25,56,36,1/31/1957,1978/02/01-ATP 2,,,,,,2017
NY005012100,210,210,325,325,NY005120,ARMSTRONG I,CONVENTIONAL,NEW CONST,,,369,371,"1,763.5",4.78,,"1,014","1,014",11,1,58,3-4-6,"245,481",5.64,"245,481",5.64,"94,311","4,800,020",38.42%,180,"$14,648,872","$8,129",$514,CLIFTON PL,BROOKLYN,3,8,25,"56, 57",36,5/31/1973,,PARTIALLY,,,,,2017
NY005012100,228,210,355,325,NY005116,ARMSTRONG II,TURNKEY,NEW CONST,,,248,248,"1,276.0",5.15,,753,753,5,1,17,4,"162,118",3.72,"162,118",3.72,"67,372","3,123,424",41.56%,202,"$7,802,067","$6,114",$592,GREENE AVE,BROOKLYN,3,8,25,56,36,10/31/1974,,,,,,,2017
NY005011630,256,163,384,272,NY005189,ATLANTIC TERMINAL SITE 4B,TURNKEY,NEW CONST,,,299,300,"1,237.5",4.14,,606,606,1,0,1,31,"88,155",2.02,"88,155",2.02,"15,382","2,464,800",17.45%,300,"$10,797,972","$8,489",$572,CLERMONT AVE,BROOKLYN,2,8,25,57,35,4/30/1976,,,,,,,2017
NY005020920,092,092,670,670,NY005368,BAY VIEW,CONVENTIONAL,NEW CONST,,336,"1,609","1,610","7,310.5",4.54,916,"2,648","3,564",23,2,25,8,"1,481,844",34.02,"1,459,244",33.50,"228,305","14,262,296",15.41%,105,"$19,575,470","$2,676",$492,SEAVIEW AVE,BROOKLYN,18,8,19,59,46,5/31/1956,,,,,,,2017
NY005010730,311,073,266,538,NY005255,BEDFORD-STUYVESANT REHAB,TURNKEY,REHAB,,,84,85,381.0,4.54,,185,185,3,0,5,4-6,"26,000",0.60,"26,000",0.60,"18,283","856,611",70.32%,308,"$5,219,763","$13,316",$513,THROOP AVE,BROOKLYN,3,8,18,54,36,5/31/1983,,,YES,,,,2017
NY005010460,345,046,761,761,NY005282,BELMONT-SUTTER AREA,TURNKEY,NEW CONST,,,72,72,336.0,4.67,,192,192,3,0,8,3,"80,000",1.84,"80,000",1.84,"24,395","889,912",30.49%,104,"$5,373,534","$15,993",$581,BELMONT AVE JEROME ST SUTTER AVE BARBEY ST,BROOKLYN,5,8,19,60,42,2/28/1986,,,YES,,,,2017
NY005011310,357,131,777,777,NY005288,BERRY STREET-SOUTH 9TH STREET,TURNKEY,NEW CONST,,,150,150,711.0,4.74,,379,379,4,0,15,3-6,"129,228",2.97,"129,228",2.97,"39,559","1,341,343",30.61%,128,"$17,062,418","$23,999",$591,SOUTH 9TH ST BEDFORD & DIVISION AVES SOUTH 11TH ST WYTHE AVE,BROOKLYN,1,7,18,50,33,9/30/1995,,,YES,,,,2017
NY005012430,243,243,353,353,NY005175,BORINQUEN PLAZA I,TURNKEY,NEW CONST,,,509,509,"2,359.5",4.64,,"1,157","1,157",8,2,10,7,"250,875",5.76,"250,875",5.76,"96,902","4,544,080",38.63%,201,"$15,625,047","$6,556",$510,MANHATTAN AVE BOERUM ST BUSHWICK AVE VARET ST,BROOKLYN,1,7,18,53,34,2/28/1975,,PARTIALLY,,,,,2017
NY005012430,271,243,390,353,NY005195,BORINQUEN PLAZA II,TURNKEY,NEW CONST,,,425,425,"2,265.5",5.33,,"1,162","1,162",7,0,7,7,"184,000",4.22,"184,000",4.22,"61,115","4,223,000",33.21%,275,"$16,411,918","$7,244",$624,BOERUM ST HUMBOLDT ST SEIGEL ST BUSHWICK AVE,BROOKLYN,1,7,18,53,34,12/31/1975,,,,,,,2017
NY005020460,046,046,637,637,NY005369,BOULEVARD,CONVENTIONAL,NEW CONST,,383,"1,423","1,441","5,988.5",4.21,774,"2,026","2,800",18,0,30,6-14,"1,127,650",25.89,"1,127,650",25.89,"170,051","12,141,094",15.08%,108,"$13,645,438","$2,247",$501,LINDEN BLVD ASHFORD ST WORTMAN AVE SCHENCK AVE,BROOKLYN,5,8,19,60,42,3/22/1951,,,,,,,2017
NY005000560,056,056,212,212,NY005011,BREUKELEN,CONVENTIONAL,NEW CONST,,,"1,591","1,595","7,454.5",4.69,,"3,590","3,590",30,2,97,3-7,"2,830,416",64.98,"2,141,741",49.17,"360,423","14,297,000",12.73%,55,"$18,410,273","$2,464",$539,STANLEY AVE,BROOKLYN,18,8,19,"58, 60",42,10/31/1952,,,,,,,2017
NY005000650,065,065,213,213,NY005017,BREVOORT,CONVENTIONAL,NEW CONST,,,894,896,"4,187.0",4.68,,"1,969","1,969",13,1,27,7,"751,896",17.26,"687,188",15.78,"121,363","7,735,916",16.14%,114,"$11,831,887","$2,849",$534,BAINBRIDGE ST,BROOKLYN,3,8,25,55,41,8/31/1955,,,,,,,2017
NY005012520,325,252,336,336,NY005277,BROWN,TURNKEY,NEW CONST (ELD),,,200,200,700.0,3.50,,216,216,2,0,2,6,"99,460",2.28,"99,460",2.28,"29,354","1,493,904",29.51%,95,"$13,425,060","$19,179",$348,EASTERN PKWY,BROOKLYN,16,8,20,55,41,7/31/1985,,EXCLUSIVELY,YES,,,,2017
NY005000160,016,016,512,512,NY005213D,BROWNSVILLE,CONVENTIONAL,NEW CONST,,,"1,336","1,338","6,280.0",4.70,,"3,278","3,278",27,0,46,6-7,"819,997",18.82,"732,841",16.82,"188,564","10,371,638",23.00%,174,"$12,898,000","$2,054",$468,SUTTER AVE,BROOKLYN,16,9,20,55,41,4/16/1948,1977/07/01-ATP 1,,,,,,2017
NY005020860,086,086,430,430,NY005370,BUSHWICK,CONVENTIONAL,NEW CONST,,208,"1,220","1,220","5,673.0",4.65,572,"2,341","2,913",8,0,8,13-20,"697,736",16.02,"639,260",14.68,"78,768","11,288,105",11.29%,182,"$20,346,000","$3,599",$493,HUMBOLDT ST,BROOKLYN,1,7,18,53,34,3/31/1960,,,,,,,2017
NY005012470,302,247,565,546,NY005222,BUSHWICK II (GROUPS A & C),TURNKEY,NEW CONST,FEDERAL,,299,300,"1,446.5",4.84,,736,736,25,0,25,3,"402,930",9.25,"402,930",9.25,"102,600","3,200,584",25.46%,80,"$20,840,392","$14,235",$578,CENTRAL AVE HARMAN AVE GREEN AVE HALSEY ST,BROOKLYN,4,"7, 8",18,"53, 54","34, 37",11/30/1983,,,YES,,,,2017
NY005012470,303,247,566,546,NY005240,BUSHWICK II (GROUPS B & D),TURNKEY,NEW CONST,FEDERAL,,300,300,"1,450.0",4.83,,706,706,25,1,27,3,"440,392",10.11,"440,392",10.11,"102,600","3,200,584",23.30%,70,"$19,608,177","$13,339",$549,GATES AVE WILSON AVE MADISON AVE EVERGREEN AVE,BROOKLYN,4,7,18,"53, 54","34, 37",5/31/1984,,,YES,,,,2017
NY005012470,324,247,758,546,NY005263,BUSHWICK II CDA (GROUP E),TURNKEY,NEW CONST,FEDERAL,,276,276,"1,212.0",4.39,,556,556,5,0,37,3,"300,000",6.89,"300,000",6.89,"84,230","2,198,403",28.08%,81,"$20,078,888","$16,539",$518,KNICKERBOCKER AVE WILSON AVE GATES AVE MENAHAN ST,BROOKLYN,4,7,18,53,37,12/31/1986,,,YES,,,,2017
NY005011660,166,166,288,288,NY005088,CAREY GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,682,683,"3,095.0",4.54,,"1,664","1,664",3,2,5,15-17,"364,406",8.37,"364,406",8.37,"58,078","6,234,149",15.94%,199,"$16,996,504","$5,476",$486,W 24TH ST NEPTUNE AVE W 22ND ST SURF AVE,BROOKLYN,13,8,23,46,47,11/30/1970,,,,,,,2017
NY005011700,094,170,671,671,NY005363,CONEY ISLAND,CONVENTIONAL,NEW CONST,FEDERAL,,534,534,"2,442.0",4.57,,"1,160","1,160",5,0,5,14,"298,874",6.86,"239,429",5.50,"38,119","4,912,800",12.75%,169,"$7,728,534","$3,165",$583,SURF AVE W 32ND ST RIEGELMANN BRDWK W 29TH ST,BROOKLYN,13,8,23,46,47,1/31/1957,1995/07/13-PTA,,,,,,2017
NY005011660,239,166,335,288,NY005161,CONEY ISLAND I (SITE 1B),TURNKEY,NEW CONST,FEDERAL,,192,193,952.0,4.96,,543,543,1,0,1,18,"93,061",2.14,"93,061",2.14,"14,078","1,876,990",15.13%,254,"$7,531,412","$7,829",$521,W 20TH ST,BROOKLYN,13,8,23,46,47,5/31/1973,,,,,,,2017
NY005011720,238,172,334,334,NY005157,CONEY ISLAND I (SITE 8),TURNKEY,NEW CONST,FEDERAL,,124,125,626.0,5.05,,373,373,1,0,2,14,"61,483",1.41,"61,483",1.41,"11,970","1,187,936",19.47%,265,"$5,853,893","$9,255",$604,W 35TH ST,BROOKLYN,13,8,23,46,47,12/31/1973,,,,,,,2017
NY005011700,216,170,328,278,NY005123,CONEY ISLAND I (SITES 4 & 5),TURNKEY,NEW CONST,FEDERAL,,376,376,"1,879.0",5.00,,"1,034","1,034",1,1,6,17,"187,318",4.30,"187,318",4.30,"38,750","4,017,326",20.69%,240,"$16,603,000","$8,808",$538,MERMAID AVE,BROOKLYN,13,8,23,46,47,7/31/1974,,,,,,,2017
NY005000690,069,069,223,223,NY005023,COOPER PARK,CONVENTIONAL,NEW CONST,FEDERAL,,700,700,"3,281.0",4.69,,"1,569","1,569",11,0,13,7,"528,967",12.14,"496,296",11.39,"86,767","5,878,957",16.40%,129,"$7,702,277","$2,346",$515,FROST ST,BROOKLYN,1,12,18,50,34,6/8/1953,,,,,,,2017
NY005013510,312,351,331,765,NY005258,CROWN HEIGHTS,TURNKEY,REHAB,FEDERAL,,121,121,527.5,4.36,,256,256,8,0,8,4,"51,255",1.18,"51,255",1.18,"31,650","1,139,400",61.75%,217,"$7,974,650","$15,118",$658,BUFFALO AVE,BROOKLYN,8,"8, 9","20, 25","55, 56",41,9/30/1986,,,YES,,,,2017
NY005010700,070,070,536,536,NY005220G,CYPRESS HILLS,CONVENTIONAL,NEW CONST,FEDERAL,,"1,441","1,444","6,598.5",4.58,,"3,364","3,364",15,0,30,7,"1,264,130",29.02,"1,264,130",29.02,"223,364","12,338,237",17.67%,116,"$14,773,000","$2,247",$485,SUTTER AVE EUCLID AVE LINDEN BLVD FOUNTAIN AVE,BROOKLYN,5,8,"18, 19",60,42,5/31/1955,1978/07/01-ATP 3,,,,,,2017
NY005010700,263,070,378,378,NY005171,EAST NEW YORK CITY LINE,TURNKEY,NEW CONST,FEDERAL,,66,66,409.0,6.20,,264,264,33,0,33,3,"84,400",1.94,"84,400",1.94,"26,943","719,300",31.92%,136,"$2,774,644","$6,784",$565,FOUNTAIN AVE HEGEMAN AVE LOGAN ST,BROOKLYN,5,8,19,60,42,3/31/1976,,,,,,,2017
NY005000290,029,029,532,532,NY005220C,FARRAGUT,CONVENTIONAL,NEW CONST,FEDERAL,,"1,389","1,390","6,512.5",4.69,,"3,208","3,208",10,0,10,14,"723,570",16.61,"723,570",16.61,"100,746","11,639,930",13.92%,193,"$15,187,000","$2,324",$522,YORK ST NASSAU ST NAVY ST BRIDGE ST,BROOKLYN,2,8,25,57,35,4/30/1952,1978/07/01-ATP 3,,,,,,2017
NY005011670,205,167,322,283,NY005129,FENIMORE-LEFFERTS,TURNKEY,NEW CONST,FEDERAL,,36,36,180.0,5.00,,100,100,18,0,18,2,"33,705",0.77,"33,705",0.77,"20,339","564,300",60.34%,130,"$633,673","$3,520",$663,FENIMORE ST TROY AVE LEFFERTS AVE NOSTRAND AVE,BROOKLYN,9,9,20,43,"40, 41",9/30/1969,,,YES,,,,2017
NY005012610,207,261,375,375,NY005188,FIORENTINO PLAZA,CONVENTIONAL,NEW CONST,FEDERAL,,158,160,787.0,4.98,,467,467,8,0,10,4,"95,000",2.18,"95,000",2.18,"42,189","1,916,306",44.41%,214,"$6,138,432","$7,712",$522,GLENMORE AVE VAN SICLEN AVE PITKIN AVE WYONA ST,BROOKLYN,5,8,19,55,37,10/31/1971,,,,,,,2017
NY005012520,252,252,381,381,NY005166,GARVEY (GROUP A),CONVENTIONAL,NEW CONST,FEDERAL,,320,321,"1,525.0",4.77,,823,823,3,1,6,"2, 6-14","142,730",3.28,"142,730",3.28,"40,745","3,257,257",28.55%,251,"$12,599,489","$8,168",$509,EAST NEW YORK AVE,BROOKLYN,16,9,20,55,41,2/28/1975,,PARTIALLY,,,,,2017
